 # material = aluminum                
 # eff mass density (g/cc) =    2.70000000000000     
 # Zbar =    4.35322408794477     
#  All densities are *4*pi*r^2
#            r(a_B)                    ne_pa                     ne_scr                    ne_ion                   ne_full                   ne_ext 
        0.94699649618E-002        0.12266705156E+001        0.21438491565E-002        0.12245266665E+001        0.12266897014E+001        0.19185798370E-004
        0.95621295280E-002        0.12476754327E+001        0.21804907672E-002        0.12454949419E+001        0.12476949938E+001        0.19561060814E-004
        0.96547404116E-002        0.12689069359E+001        0.22175255189E-002        0.12666894103E+001        0.12689268777E+001        0.19941801480E-004
        0.97477976128E-002        0.12903655464E+001        0.22549542586E-002        0.12881105921E+001        0.12903858745E+001        0.20328073429E-004
        0.98413011315E-002        0.13120517640E+001        0.22927777950E-002        0.13097589862E+001        0.13120724839E+001        0.20719929975E-004
        0.99352509677E-002        0.13339660668E+001        0.23309968984E-002        0.13316350699E+001        0.13339871843E+001        0.21117424688E-004
        0.10029647121E-001        0.13561089111E+001        0.23696123005E-002        0.13537392988E+001        0.13561304318E+001        0.21520611395E-004
        0.10124489593E-001        0.13784807313E+001        0.24086246941E-002        0.13760721066E+001        0.13785026608E+001        0.21929544178E-004
        0.10219778381E-001        0.14010819395E+001        0.24480347329E-002        0.13986339047E+001        0.14011042837E+001        0.22344277374E-004
        0.10315513488E-001        0.14239129258E+001        0.24878430311E-002        0.14214250828E+001        0.14239356907E+001        0.22764865576E-004
        0.10411694911E-001        0.14469740580E+001        0.25280501637E-002        0.14444460079E+001        0.14469972494E+001        0.23191363634E-004
        0.10508322653E-001        0.14702656814E+001        0.25686566657E-002        0.14676970247E+001        0.14702893052E+001        0.23623826654E-004
        0.10605396711E-001        0.14937881187E+001        0.26096630323E-002        0.14911784556E+001        0.14938121810E+001        0.24062309994E-004
