 # material = aluminum                
 # eff mass density (g/cc) =    2.70000000000000     
 # Zbar =    2.88757004311296     
#            r(a_B)                    ne_pa                     ne_scr                    ne_ion                    nefull                    neext 
        0.12003326322E-002        0.10755918866E+006        0.43057088226E+001        0.10755488295E+006        0.10755919014E+006        0.14734511756E-002
        0.12150154637E-002        0.10561009809E+006        0.42794905502E+001        0.10560581860E+006        0.10561009956E+006        0.14734522069E-002
        0.12297875525E-002        0.10370770179E+006        0.42535881948E+001        0.10370344820E+006        0.10370770326E+006        0.14734532435E-002
        0.12446488987E-002        0.10185061028E+006        0.42279960638E+001        0.10184638229E+006        0.10185061176E+006        0.14734542852E-002
        0.12595995022E-002        0.10003748339E+006        0.42027086009E+001        0.10003328069E+006        0.10003748487E+006        0.14734553321E-002
        0.12746393630E-002        0.98267028242E+005        0.41777203816E+001        0.98262850522E+005        0.98267029716E+005        0.14734563842E-002
        0.12897684812E-002        0.96537997301E+005        0.41530261096E+001        0.96533844275E+005        0.96537998775E+005        0.14734574414E-002
        0.13049868567E-002        0.94849186553E+005        0.41286206130E+001        0.94845057932E+005        0.94849188026E+005        0.14734585037E-002
        0.13202944895E-002        0.93199433730E+005        0.41044988406E+001        0.93195329232E+005        0.93199435204E+005        0.14734595711E-002
        0.13356913797E-002        0.91587616636E+005        0.40806558585E+001        0.91583535980E+005        0.91587618109E+005        0.14734606435E-002
        0.13511775272E-002        0.90012651539E+005        0.40570868465E+001        0.90008594452E+005        0.90012653013E+005        0.14734617210E-002
        0.13667529321E-002        0.88473491648E+005        0.40337870950E+001        0.88469457861E+005        0.88473493122E+005        0.14734628036E-002
        0.13824175942E-002        0.86969125648E+005        0.40107520018E+001        0.86965114896E+005        0.86969127121E+005        0.14734638912E-002
        0.13981715137E-002        0.85498576306E+005        0.39879770692E+001        0.85494588329E+005        0.85498577779E+005        0.14734649838E-002
        0.14140146906E-002        0.84060899140E+005        0.39654579009E+001        0.84056933682E+005        0.84060900613E+005        0.14734660813E-002
        0.14299471248E-002        0.82655181143E+005        0.39431901989E+001        0.82651237953E+005        0.82655182617E+005        0.14734671838E-002
        0.14459688163E-002        0.81280539571E+005        0.39211697616E+001        0.81276618401E+005        0.81280541044E+005        0.14734682913E-002
        0.14620797651E-002        0.79936120771E+005        0.38993924798E+001        0.79932221379E+005        0.79936122245E+005        0.14734694036E-002
        0.14782799713E-002        0.78621099077E+005        0.38778543355E+001        0.78617221223E+005        0.78621100551E+005        0.14734705209E-002
        0.14945694348E-002        0.77334675740E+005        0.38565513988E+001        0.77330819189E+005        0.77334677214E+005        0.14734716431E-002
        0.15109481557E-002        0.76076077912E+005        0.38354798253E+001        0.76072242432E+005        0.76076079385E+005        0.14734727701E-002
        0.15274161339E-002        0.74844557670E+005        0.38146358539E+001        0.74840743034E+005        0.74844559143E+005        0.14734739019E-002
        0.15439733694E-002        0.73639391085E+005        0.37940158048E+001        0.73635597069E+005        0.73639392558E+005        0.14734750386E-002
        0.15606198622E-002        0.72459877327E+005        0.37736160774E+001        0.72456103711E+005        0.72459878801E+005        0.14734761800E-002
        0.15773556124E-002        0.71305337812E+005        0.37534331474E+001        0.71301584379E+005        0.71305339285E+005        0.14734773263E-002
        0.15941806200E-002        0.70175115378E+005        0.37334635657E+001        0.70171381915E+005        0.70175116852E+005        0.14734784773E-002
        0.16110948848E-002        0.69068573507E+005        0.37137039560E+001        0.69064859803E+005        0.69068574981E+005        0.14734796330E-002
        0.16280984070E-002        0.67985095566E+005        0.36941510129E+001        0.67981401415E+005        0.67985097039E+005        0.14734807935E-002
