 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    4.35322408794477     
 #
 # screening length =   1.57153029298550     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.97980276569E+000        0.13116484162E+002       -0.19993330329E+002
        0.98345874616E+000        0.13043678341E+002       -0.19835117118E+002
        0.98711472663E+000        0.12971448420E+002       -0.19678272589E+002
        0.99077070710E+000        0.12899789466E+002       -0.19522784717E+002
        0.99442668757E+000        0.12828696492E+002       -0.19368641821E+002
        0.99808266804E+000        0.12758164650E+002       -0.19215832550E+002
        0.10017386485E+001        0.12688189037E+002       -0.19064345865E+002
        0.10053946290E+001        0.12618764885E+002       -0.18914171023E+002
        0.10090506094E+001        0.12549887370E+002       -0.18765297567E+002
        0.10127065899E+001        0.12481551799E+002       -0.18617715303E+002
        0.10163625704E+001        0.12413753424E+002       -0.18471414295E+002
        0.10200185509E+001        0.12346487623E+002       -0.18326384846E+002
        0.10236745313E+001        0.12279749721E+002       -0.18182617486E+002
        0.10273305118E+001        0.12213535165E+002       -0.18040102961E+002
        0.10309864923E+001        0.12147839347E+002       -0.17898832219E+002
        0.10346424727E+001        0.12082657780E+002       -0.17758796400E+002
        0.10382984532E+001        0.12017985920E+002       -0.17619986821E+002
        0.10419544337E+001        0.11953819345E+002       -0.17482394973E+002
        0.10456104141E+001        0.11890153574E+002       -0.17346012501E+002
        0.10492663946E+001        0.11826984244E+002       -0.17210831201E+002
        0.10529223751E+001        0.11764306934E+002       -0.17076843009E+002
        0.10565783555E+001        0.11702117341E+002       -0.16944039987E+002
        0.10602343360E+001        0.11640411103E+002       -0.16812414323E+002
        0.10638903165E+001        0.11579183972E+002       -0.16681958313E+002
        0.10675462970E+001        0.11518431644E+002       -0.16552664362E+002
        0.10712022774E+001        0.11458149925E+002       -0.16424524966E+002
        0.10748582579E+001        0.11398334567E+002       -0.16297532716E+002
        0.10785142384E+001        0.11338981431E+002       -0.16171680281E+002
        0.10821702188E+001        0.11280086320E+002       -0.16046960407E+002
